file,sector_code,sector_name,size,mapping_confidence,source_json,rows,sv_mapping_warning,scale_guidance_hash
"EBX_Q_템플릿_SV_서비스_대기업_consultant_safe_v2.xlsx","SV","서비스","대기업","low","EBX_Q_템플릿_SV_서비스_대기업.json","27","yes","4310da8d5c272bfd8587768c4597f36b6ed585fbdc4d66c7b95943e019a2ea98"
"EBX_Q_템플릿_SV_서비스_비상장_consultant_safe_v2.xlsx","SV","서비스","비상장","low","EBX_Q_템플릿_SV_서비스_비상장.json","27","yes","0c4cabdc1c1014595e4a58c85e548cb0e1d79d326ad7a8d4a931a999364c5e81"
"EBX_Q_템플릿_SV_서비스_중견_consultant_safe_v2.xlsx","SV","서비스","중견","low","EBX_Q_템플릿_SV_서비스_중견.json","27","yes","aa13af130535c8fc05c5d26f91ff942c2a8c033a8c5070ef5a84ecbe709b78cb"
"EBX_Q_템플릿_SV_서비스_중소_consultant_safe_v2.xlsx","SV","서비스","중소","low","EBX_Q_템플릿_SV_서비스_중소.json","27","yes","7bc23dc5270125065226b159ccdc011ed8e65e489dfd2b197c03c0ab4fc911b4"
"EBX_Q_템플릿_TC_기술·통신_대기업_consultant_safe_v2.xlsx","TC","기술·통신","대기업","high","EBX_Q_템플릿_TC_기술·통신_대기업.json","27","no","4310da8d5c272bfd8587768c4597f36b6ed585fbdc4d66c7b95943e019a2ea98"
"EBX_Q_템플릿_TC_기술·통신_비상장_consultant_safe_v2.xlsx","TC","기술·통신","비상장","high","EBX_Q_템플릿_TC_기술·통신_비상장.json","27","no","0c4cabdc1c1014595e4a58c85e548cb0e1d79d326ad7a8d4a931a999364c5e81"
"EBX_Q_템플릿_TC_기술·통신_중견_consultant_safe_v2.xlsx","TC","기술·통신","중견","high","EBX_Q_템플릿_TC_기술·통신_중견.json","27","no","aa13af130535c8fc05c5d26f91ff942c2a8c033a8c5070ef5a84ecbe709b78cb"
"EBX_Q_템플릿_TC_기술·통신_중소_consultant_safe_v2.xlsx","TC","기술·통신","중소","high","EBX_Q_템플릿_TC_기술·통신_중소.json","27","no","7bc23dc5270125065226b159ccdc011ed8e65e489dfd2b197c03c0ab4fc911b4"
"EBX_Q_템플릿_TR_운송_대기업_consultant_safe_v2.xlsx","TR","운송","대기업","high","EBX_Q_템플릿_TR_운송_대기업.json","27","no","4310da8d5c272bfd8587768c4597f36b6ed585fbdc4d66c7b95943e019a2ea98"
"EBX_Q_템플릿_TR_운송_비상장_consultant_safe_v2.xlsx","TR","운송","비상장","high","EBX_Q_템플릿_TR_운송_비상장.json","27","no","0c4cabdc1c1014595e4a58c85e548cb0e1d79d326ad7a8d4a931a999364c5e81"
"EBX_Q_템플릿_TR_운송_중견_consultant_safe_v2.xlsx","TR","운송","중견","high","EBX_Q_템플릿_TR_운송_중견.json","27","no","aa13af130535c8fc05c5d26f91ff942c2a8c033a8c5070ef5a84ecbe709b78cb"
"EBX_Q_템플릿_TR_운송_중소_consultant_safe_v2.xlsx","TR","운송","중소","high","EBX_Q_템플릿_TR_운송_중소.json","27","no","7bc23dc5270125065226b159ccdc011ed8e65e489dfd2b197c03c0ab4fc911b4"
